movie_id,movie_title,predicted_rating,user_id
13700,Movie 13700,4.85,124729
21642,Movie 21642,4.85,124729
13701,Movie 13701,4.82,124729
8067,Movie 8067,4.74,124729
13006,Movie 13006,4.73,124729
15536,Movie 15536,4.83,26411
7401,Movie 7401,4.81,26411
2826,Movie 2826,4.7,26411
6079,Movie 6079,4.7,26411
2383,Movie 2383,4.69,26411
8067,Movie 8067,4.82,122529
13700,Movie 13700,4.72,122529
9730,Movie 9730,4.71,122529
13701,Movie 13701,4.7,122529
16522,Movie 16522,4.7,122529
9584,Movie 9584,4.78,67174
59,Movie 59,4.77,67174
23048,Movie 23048,4.7,67174
15536,Movie 15536,4.69,67174
23446,Movie 23446,4.69,67174
12976,Movie 12976,4.81,108160
12978,Movie 12978,4.76,108160
12977,Movie 12977,4.66,108160
6341,Movie 6341,4.66,108160
21888,Movie 21888,4.63,108160
